,Donut,Loc,Center,Edge-Ring,Scratch,Near-full,Edge-Loc,Random,none
Donut,221,6,5,0,5,0,0,4,0
Loc,19,79,26,0,34,2,39,1,41
Center,11,21,165,0,10,2,11,1,20
Edge-Ring,0,0,0,217,5,0,18,0,1
Scratch,1,27,9,4,136,0,21,3,40
Near-full,0,0,0,0,0,72,0,3,0
Edge-Loc,6,25,14,8,14,1,129,5,39
Random,11,0,4,0,0,4,0,222,0
none,0,16,13,1,12,0,37,4,155
